KEY,VALUE
BLOCK,HEADER
block.header.meta.desc,"IT-solutions: turnkey project, programming, support, consulting."
block.header.meta.keywords,"Project development, project support, directly work with programmer"
block.header.title,"Development & support projects"
block.header.meta.og.title,"I save the project budget, working with the programmer directly!"
block.header.meta.og.desc,"IT-solutions: turnkey project, programming, support, consulting."
BLOCK,FULLSCREEN
block.fullscreen.title,"IT-solutions"
block.fullscreen.desc,"DEVELOPMENT  &nbsp; & &nbsp; SUPPORT &nbsp; PROJECTS"
block.fullscreen.repost.vk,"Сonditions improving by reposting VK"
block.fullscreen.repost.vk.url,"https://vk.com/share.php?url=http://ruslan.tech/&title=Работаю%20напрямую%20с%20программистом%20и%20экономлю%20бюджет%20проекта!#разработка&description=IT-решения: проект под ключ, программирование, консалтинг.&image=http://ruslan.tech/img/programmer/1.jpg&url=http://ruslan.tech/&noparse=true"
block.fullscreen.repost.fb,"Сonditions improving by reposting FB"
